"Albany & Denmark Hinterland Orienteering Club";"AO W"
"Albury-Wodonga Orienteering Club";"AW V"
"Assoc.Coaches/Officials/Other";"CO Q"
"Australopers Orienteering Club";"AL T"
"Bayside Kangaroos Orienteers";"BK V"
"Bendigo Orienteers";"BG V"
"Bennelong Northside Orienteers";"BN N"
"Bibbulmun Orienteers";"BO W"
"Big Foot Orienteers";"BF N"
"Bold Horizons Event Organiser";"BH N"
"Bullecourt Boulder Bounders";"BB Q"
"Bush n Beach Orienteering Club";"BB N"
"Bushflyers";"BS A"
"Bushrangers";"AU B"
"CBR Cockatoos";"CC A"
"Casuals ACT";"CAS A"
"Casuals NSW";"CAS N"
"Casuals QLD -Non Member Option";"CAS Q"
"Casuals SA";"CAS S"
"Casuals TAS";"CAS T"
"Casuals Victoria";"CAS V"
"Casuals WA";"CAS W"
"Central Coast Orienteers";"CC N"
"Central Highlands Orienteering Club";"CH V"
"Dandenong Ranges Orienteering Club";"DR V"
"Enoggeroos";"EN Q"
"Esk Valley Orienteering Club";"EV T"
"Eureka Orienteers";"EU V"
"Far North Orienteering Club";"FN Q"
"Garingal Orienteers";"GO N"
"Goldseekers Orienteers";"GS N"
"Hastings Orienteering Group";"HO N"
"Illawarra Kareelah Orienteers";"IK N"
"Knox Grammar School";"KG N"
"Kulgun 225 Orienteers";"KO W"
"LOST";"LO W"
"Lincoln Orienteers";"LI S"
"Melbourne Forest Racers";"MF V"
"Mountain Devils MTB Orienteering Club (CLOSED)";"MD N"
"Multi Terrain Bike Orienteers";"MT Q"
"NSW Stingers";"ST N"
"New Zealand Pinestars";"New Zealand Pinestars"
"New Zealand";"NZ"
"Newcastle Orienteering Club";"NC N"
"Nillumbik Emus Orienteering Club";"NE V"
"Northern Tablelands Orienteering Club";"NT N"
"Octavian Droobers";"Droobers"
"Onkaparinga Hills Orienteering Club";"OH S"
"Paradise Lost Orienteers";"PL Q"
"Parawanga Orienteers";"PO A"
"Pathfinders Orienteering Club";"PF T"
"QLD Cyclones";"QC Q"
"Range Runners Orienteering Club";"RR Q"
"Red Roos";"RR A"
"SA Arrows";"SW S"
"Saltbush Orienteers";"SB S"
"Sheffield University Orienteering Club";"ShUOC"
"South-West Orienteering Trekkers";"SW W"
"Southern Highlands Orienteers";"SH N"
"St Helens Orienteering Club";"SH T"
"Sunshine Orienteers Club";"SO Q"
"TAS Foresters";"TF T"
"Tintookies Orienteers";"TT S"
"Tjuringa Orienteers";"TJ S"
"Toohey Forest Orienteers";"TF Q"
"Top End Orienteers";"TE S"
"Totally Tropical Orienteering Club";"TT Q"
"Tuckonie Orienteering Club";"TK V"
"Ugly Gully Orienteers";"UG Q"
"Uringa Orienteers";"UR N"
"VIC Vikings";"VV V"
"Victorian ARDF Group";"AR V"
"WA Nomads";"WN W"
"Wagga and Riverina Orienteers";"WR N"
"Wallaringa Orienteering Club";"WA S"
"Wellington Ranges (CLOSED)";"WR T"
"Western Plains Orienteers (CLOSED)";"WP N"
"Western and Hills Orienteers";"WH N"
"Weston Emus (CLOSED)";"WE A"
"Wullundigong Orienteers of the West";"WO W"
"Yalanga Orienteers";"YA S"
"Yarra Valley Orienteering Club";"YV V"

